line top point : (594000.956, 5753195.131)	 line bottom point : (594000.956, 5745470.425) 	 left # : 1498 	 right # : 1570 	 overlap_with_division_line # : 333
line top point : (594001.956, 5753195.131)	 line bottom point : (594001.956, 5745470.425) 	 left # : 1499 	 right # : 1570 	 overlap_with_division_line # : 332
line top point : (594002.956, 5753195.131)	 line bottom point : (594002.956, 5745470.425) 	 left # : 1501 	 right # : 1568 	 overlap_with_division_line # : 332
line top point : (594003.956, 5753195.131)	 line bottom point : (594003.956, 5745470.425) 	 left # : 1502 	 right # : 1567 	 overlap_with_division_line # : 332
line top point : (594004.956, 5753195.131)	 line bottom point : (594004.956, 5745470.425) 	 left # : 1502 	 right # : 1567 	 overlap_with_division_line # : 332
line top point : (594005.956, 5753195.131)	 line bottom point : (594005.956, 5745470.425) 	 left # : 1506 	 right # : 1564 	 overlap_with_division_line # : 331
line top point : (594006.956, 5753195.131)	 line bottom point : (594006.956, 5745470.425) 	 left # : 1510 	 right # : 1563 	 overlap_with_division_line # : 328
line top point : (594007.956, 5753195.131)	 line bottom point : (594007.956, 5745470.425) 	 left # : 1510 	 right # : 1563 	 overlap_with_division_line # : 328
line top point : (594008.956, 5753195.131)	 line bottom point : (594008.956, 5745470.425) 	 left # : 1512 	 right # : 1563 	 overlap_with_division_line # : 326
line top point : (594009.956, 5753195.131)	 line bottom point : (594009.956, 5745470.425) 	 left # : 1514 	 right # : 1561 	 overlap_with_division_line # : 326
line top point : (594010.956, 5753195.131)	 line bottom point : (594010.956, 5745470.425) 	 left # : 1516 	 right # : 1561 	 overlap_with_division_line # : 324
line top point : (594011.956, 5753195.131)	 line bottom point : (594011.956, 5745470.425) 	 left # : 1518 	 right # : 1559 	 overlap_with_division_line # : 324
line top point : (594012.956, 5753195.131)	 line bottom point : (594012.956, 5745470.425) 	 left # : 1520 	 right # : 1559 	 overlap_with_division_line # : 322
line top point : (594013.956, 5753195.131)	 line bottom point : (594013.956, 5745470.425) 	 left # : 1520 	 right # : 1559 	 overlap_with_division_line # : 322
line top point : (594014.956, 5753195.131)	 line bottom point : (594014.956, 5745470.425) 	 left # : 1520 	 right # : 1559 	 overlap_with_division_line # : 322
line top point : (594015.956, 5753195.131)	 line bottom point : (594015.956, 5745470.425) 	 left # : 1522 	 right # : 1559 	 overlap_with_division_line # : 320
line top point : (594016.956, 5753195.131)	 line bottom point : (594016.956, 5745470.425) 	 left # : 1522 	 right # : 1559 	 overlap_with_division_line # : 320
line top point : (594017.956, 5753195.131)	 line bottom point : (594017.956, 5745470.425) 	 left # : 1524 	 right # : 1557 	 overlap_with_division_line # : 320
line top point : (594018.956, 5753195.131)	 line bottom point : (594018.956, 5745470.425) 	 left # : 1524 	 right # : 1557 	 overlap_with_division_line # : 320
line top point : (594019.956, 5753195.131)	 line bottom point : (594019.956, 5745470.425) 	 left # : 1526 	 right # : 1556 	 overlap_with_division_line # : 319
line top point : (594020.956, 5753195.131)	 line bottom point : (594020.956, 5745470.425) 	 left # : 1526 	 right # : 1556 	 overlap_with_division_line # : 319
line top point : (594021.956, 5753195.131)	 line bottom point : (594021.956, 5745470.425) 	 left # : 1526 	 right # : 1556 	 overlap_with_division_line # : 319
line top point : (594022.956, 5753195.131)	 line bottom point : (594022.956, 5745470.425) 	 left # : 1526 	 right # : 1556 	 overlap_with_division_line # : 319
line top point : (594023.956, 5753195.131)	 line bottom point : (594023.956, 5745470.425) 	 left # : 1526 	 right # : 1556 	 overlap_with_division_line # : 319
line top point : (594024.956, 5753195.131)	 line bottom point : (594024.956, 5745470.425) 	 left # : 1526 	 right # : 1556 	 overlap_with_division_line # : 319
line top point : (594025.956, 5753195.131)	 line bottom point : (594025.956, 5745470.425) 	 left # : 1528 	 right # : 1555 	 overlap_with_division_line # : 318
line top point : (594026.956, 5753195.131)	 line bottom point : (594026.956, 5745470.425) 	 left # : 1528 	 right # : 1555 	 overlap_with_division_line # : 318
line top point : (594027.956, 5753195.131)	 line bottom point : (594027.956, 5745470.425) 	 left # : 1530 	 right # : 1553 	 overlap_with_division_line # : 318
line top point : (594028.956, 5753195.131)	 line bottom point : (594028.956, 5745470.425) 	 left # : 1530 	 right # : 1553 	 overlap_with_division_line # : 318
line top point : (594029.956, 5753195.131)	 line bottom point : (594029.956, 5745470.425) 	 left # : 1532 	 right # : 1551 	 overlap_with_division_line # : 318
line top point : (594030.956, 5753195.131)	 line bottom point : (594030.956, 5745470.425) 	 left # : 1534 	 right # : 1549 	 overlap_with_division_line # : 318
line top point : (594031.956, 5753195.131)	 line bottom point : (594031.956, 5745470.425) 	 left # : 1534 	 right # : 1549 	 overlap_with_division_line # : 318
